pool	num_seqs	sum_len	min_len	mean_len	max_len	N50
250205-BoDT-NAS	1	1914	1914	1914.0	1914	1914
250919-Copl-NAS	2705	3022635	131	1117.4	4614	1493
251008-MBTA_Ha-NAS	52	108908	502	2094.4	3594	2341
251022-Copl-NAS-P2	17	13130	257	772.4	1034	876
251110-MBTA_Ha-NAS-P1	61	72708	240	1191.9	2456	1501
251213-BoDT-NAS-P1	12661	41881180	170	3307.9	10587	3637
260108-Copl-NAS-P2	515	1202059	180	2334.1	3629	2851
260122-Copl-NAS-P2	18	15046	106	835.9	2888	1683
260509-Other_fs-NAS-P3	30410	84704567	116	2785.4	8705	2955
260605-BC-NAS-P1	299	821914	539	2748.9	6588	2580
