virus	pool	reflen	breadth_pct	mean_depth	n_pos_covered
rhinovirus_a	251213-BoDT-NAS-P1	7137	99.48	4269.55	7100
rhinovirus_b	250919-Copl-NAS	7208	98.81	83.99	7122
rhinovirus_a	260605-BC-NAS-P1	7137	95.1	65.59	6787
rhinovirus_a	260509-Other_fs-NAS-P3	7137	92.17	5600.86	6578
hcov_229e	251213-BoDT-NAS-P1	27317	92.02	4.63	25137
rhinovirus_b	260509-Other_fs-NAS-P3	7208	87.62	60.62	6316
rhinovirus_a	251008-MBTA_Ha-NAS	7137	80.3	7.74	5731
rhinovirus_b	251213-BoDT-NAS-P1	7208	76.23	140.02	5495
rhinovirus_b	260605-BC-NAS-P1	7208	74.45	2.91	5366
sars_cov_2	250919-Copl-NAS	29903	70.95	72.06	21215
hcov_nl63	251213-BoDT-NAS-P1	27553	64.49	2.08	17769
rhinovirus_c	251213-BoDT-NAS-P1	7099	63.4	359.52	4501
rhinovirus_b	251110-MBTA_Ha-NAS-P1	7208	57.48	0.99	4143
hcov_nl63	260509-Other_fs-NAS-P3	27553	56.27	1.74	15505
rhinovirus_a	251110-MBTA_Ha-NAS-P1	7137	44.86	1.39	3202
hcov_229e	250919-Copl-NAS	27317	44.11	3.1	12050
rhinovirus_a	250919-Copl-NAS	7137	40.62	4.62	2899
rhinovirus_c	260509-Other_fs-NAS-P3	7099	39.98	284.57	2838
hcov_nl63	260108-Copl-NAS-P2	27553	35.02	22.08	9648
rhinovirus_a	250205-BoDT-NAS	7137	26.48	0.26	1890
rhinovirus_a	251022-Copl-NAS-P2	7137	25.99	0.69	1855
rhinovirus_c	260605-BC-NAS-P1	7099	21.27	14.21	1510
rhinovirus_c	260108-Copl-NAS-P2	7099	18.89	0.94	1341
sars_cov_2	260108-Copl-NAS-P2	29903	18.22	0.41	5449
hcov_229e	260509-Other_fs-NAS-P3	27317	18.05	0.18	4930
hmpv	250919-Copl-NAS	13350	16.25	0.32	2169
hcov_229e	260108-Copl-NAS-P2	27317	15.54	4.95	4246
hcov_nl63	260122-Copl-NAS-P2	27553	11.81	0.49	3254
rhinovirus_c	251022-Copl-NAS-P2	7099	11.78	0.23	836
rhinovirus_a	260108-Copl-NAS-P2	7137	7.23	1.18	516
rhinovirus_b	260108-Copl-NAS-P2	7208	6.6	0.52	476
hpiv2	250919-Copl-NAS	15646	5.78	0.21	904
rhinovirus_c	250919-Copl-NAS	7099	5.71	0.1	405
rhinovirus_c	251008-MBTA_Ha-NAS	7099	5.07	0.69	360
rhinovirus_c	251110-MBTA_Ha-NAS-P1	7099	5.01	0.05	356
hcov_hku1	260108-Copl-NAS-P2	29926	3.35	0.12	1004
hcov_nl63	250919-Copl-NAS	27553	3.14	0.03	865
hcov_hku1	250919-Copl-NAS	29926	3.02	0.03	903
hcov_oc43	260108-Copl-NAS-P2	30741	2.78	0.08	855
hcov_oc43	250919-Copl-NAS	30741	1.07	1.17	330
